,brand,description,price,scrape_date,image_path,clothing,material,pattern,fit,style
0,Bottega Veneta,ribbed-knit sweater,760,09-Dec-2020,full/1727bcd0c3fbc57ebd1e6e5281cb3ea815e8c267.jpg,sweater,,,,ribbed-knit
1,Bottega Veneta,ribbed-knit sweater,760,09-Dec-2020,full/111bb75a1ea02655e8e38c12aeb3e26853ac0896.jpg,sweater,,,,ribbed-knit
2,Alexander McQueen,leather exaggerated-sole chelsea boots,540,09-Dec-2020,full/bb81de3bc4980960c073530d024f58069df14547.jpg,boots,leather,,,
3,Alexander McQueen,leather exaggerated-sole chelsea boots,540,09-Dec-2020,full/0ed097c0564ca79b34731d48ecab36a5c5c5e3d4.jpg,boots,leather,,,
4,Nanushka,meda belted vegan leather mini skirt,295,09-Dec-2020,full/e4f836f3733bd521d420407dbb2185bc6648ccda.jpg,belt,leather,,mini,belted
5,Nanushka,meda belted vegan leather mini skirt,295,09-Dec-2020,full/d63241349c3f16c87b2f64dcb79812e5f83e646b.jpg,belt,leather,,mini,belted
6,Gucci,dionysus small textured-leather shoulder bag,1750,09-Dec-2020,full/99b18741f3ce00c36ba8cd3fcf0d5e608706aaa3.jpg,bag,leather,,,
7,Gucci,dionysus small textured-leather shoulder bag,1750,09-Dec-2020,full/fd47792fb43eb65b1d95f92baf2ec5e0d6510514.jpg,bag,leather,,,
8,Khaite,ann tie-detailed ruched velvet and tulle mini dress,1860,09-Dec-2020,full/db06dad4ce7125424eed1022aebb2424380d400d.jpg,dress,tulle,,mini,tie-detailed
9,Khaite,ann tie-detailed ruched velvet and tulle mini dress,1860,09-Dec-2020,full/0b67ad664c88feb4f6ec11dee576a21aa1f61c4e.jpg,dress,tulle,,mini,tie-detailed
10,Manolo Blahnik,salvora crystal-embellished satin mules ,785,09-Dec-2020,full/0f120f42ee2a5ec3ee13ac025be8ce74ea5062be.jpg,,satin,,,crystal-embellished
11,Manolo Blahnik,salvora crystal-embellished satin mules ,785,09-Dec-2020,full/4fc25e6b6a48c5fee8ef89897204c541ced2b35e.jpg,,satin,,,crystal-embellished
12,The Row,vega wool vest,1320,09-Dec-2020,full/734aab65760cbe8c9cb9af61e7bb349d346c720c.jpg,,wool,,,
13,The Row,vega wool vest,1320,09-Dec-2020,full/a222d432b794944f177ae9c6389213e783de20ed.jpg,,wool,,,
14,Spinelli Kilcollin,mozi set of three 18-karat rose and yellow gold diamond rings,10300,09-Dec-2020,full/9b43981639dbdd935aa19abff8918444d8e1f7bd.jpg,ring,,,,
15,Spinelli Kilcollin,mozi set of three 18-karat rose and yellow gold diamond rings,10300,09-Dec-2020,full/a8c1eaac81077111568fa0965f28fc5d3be5aba9.jpg,ring,,,,
16,The Row,marleen double-breasted wool coat,2980,09-Dec-2020,full/5b72651cb95ae510e46781ddf1174d88f5a341fc.jpg,coat,wool,,,double-breasted
17,The Row,marleen double-breasted wool coat,2980,09-Dec-2020,full/dd26cf545953e43e8e83a8784fcd3199f3351acb.jpg,coat,wool,,,double-breasted
18,Chloé,leather-trimmed shearling vest,3790,09-Dec-2020,full/c276b14392b51362d6202999c5e4c482af3a50a7.jpg,,leather-trimmed,,,
19,Chloé,leather-trimmed shearling vest,3790,09-Dec-2020,full/8cae34320b8dfcac7ba6faee14b73fd0a7daaf5b.jpg,,leather-trimmed,,,
20,Paco Rabanne,xl link gold-tone necklace,350,09-Dec-2020,full/30a927a329034a51e0a1ca2e5ae5a004da8d0794.jpg,necklace,lace,,,
21,Paco Rabanne,xl link gold-tone necklace,350,09-Dec-2020,full/3e557a5cde200128f1570cf1e6e1e66aff45c512.jpg,necklace,lace,,,
22,Bottega Veneta,leather skirt,2260,09-Dec-2020,full/520ecf01c474ab7ad2971e7875aa610c10fde3b8.jpg,skirt,leather,,,
23,Bottega Veneta,leather skirt,2260,09-Dec-2020,full/bc3b182c5fc332fecabf2a020f2977d5852c1936.jpg,skirt,leather,,,
24,Chopard,happy spirit 18-karat rose and white gold diamond cuff,3760,09-Dec-2020,full/4edad462d67c7ba05c1f2a59e37a9b8f7ed813de.jpg,,,,,
25,Chopard,happy spirit 18-karat rose and white gold diamond cuff,3760,09-Dec-2020,full/318acc168ddc1d2e7f75a640b2af64d0d44d0b38.jpg,,,,,
26,Lauren Manoogian,+ net sustain belted knitted coat,980,09-Dec-2020,full/f7fdc6e2cf060901a1b62c55d2797cd6c88ad726.jpg,coat,,,,belted
27,Lauren Manoogian,+ net sustain belted knitted coat,980,09-Dec-2020,full/7208bebc64da761457c08605c7049b43167455f7.jpg,coat,,,,belted
28,Gucci,tennis 1977 logo-embroidered shearling-lined suede and canvas sneakers,575,09-Dec-2020,full/5b2be3619eaddb53e67dc115f5452cd7f0ee09ff.jpg,sneakers,suede,,,embroidered
29,Gucci,tennis 1977 logo-embroidered shearling-lined suede and canvas sneakers,575,09-Dec-2020,full/3ed1bd04e239f7f1f201f3c250a6591e4a2df741.jpg,sneakers,suede,,,embroidered
30,FRAME,cropped cashmere tank,205,09-Dec-2020,full/0af4602b923abb824c27fc4527b5cd811d9633cc.jpg,tank,cashmere,,,cropped
31,FRAME,cropped cashmere tank,205,09-Dec-2020,full/7ef0168c51c469983571aeb484931781a5f11c0e.jpg,tank,cashmere,,,cropped
